PH,AP,SOC,TN,TP,Population,age010,age6580,Temperature,Precipitation,DEM,Road,GDP,NDVI,Longitude,Latitude,Tetracyclines
7.64,0.0112,1.95,1.392,0.52,148,10.76841621,10.72707114,17.22867,800.4785,1804,7.033875,1940,135,101.580331,25.011862,0.681124292
7.51,0.0047,1.08,1.057,0.441,106,10.76840211,10.72708414,17.22867,800.4785,1812,5.886914,1940,128,101.583397,25.012404,4.200897076
8.16,0.00445,1.05,0.777,0.23,106,10.76842231,10.72707124,17.22867,800.4785,1812,5.886914,1958,142,101.585374,25.014934,1.587138644
6.05,0.00113,1.56,1.387,0.425,209,10.76842652,10.72706672,17.17854,798.8168,1800,4.078534,1331,123,101.581691,25.007002,0.252113319
5.62,0.049,1.6,1.225,0.701,106,10.76842003,10.72706969,17.22867,800.4785,1805,4.078534,1576,119,101.587578,25.009243,0.474759967
6.64,0.0731,2.67,2.567,0.869,7293,10.76842164,10.72706807,17.42944,804.4666,1781,8.516628,3291,159,101.542204,25.044116,0.139574734
7.31,0.0286,4.85,3.656,0.896,7283,10.76842133,10.72706995,17.42944,804.4666,1781,10.5054,2911,174,101.541139,25.045272,0.206369691
7.71,0.0403,0.99,0.908,0.655,7283,10.76842102,10.72707182,17.39845,801.4443,1781,11.18955,2911,82,101.535675,25.044533,0
7.66,0.017,2.96,3.029,0.871,7283,10.76842071,10.72707369,17.39845,801.4443,1781,11.18955,2911,62,101.537506,25.045206,0.416158612
7.11,0.0471,2.9,2.906,0.815,7293,10.76842147,10.72706921,17.42944,804.4666,1793,10.5054,3011,146,101.544894,25.048169,0.164412844
7.59,0.0224,3.06,2.126,0.511,7293,10.76842168,10.72706802,17.40475,806.6144,1781,8.516628,3428,75,101.547894,25.041811,7.095398234
7.06,0.0124,2.64,2.3,0.683,7283,10.76842275,10.72706718,17.42944,804.4666,1781,8.516628,3291,134,101.540676,25.04287,0.197033298
7.47,0.0181,4.55,2.872,0.489,7283,10.76842305,10.72707015,17.42944,804.4666,1781,6.307312,3291,141,101.53937,25.044424,0.261695088
8.47,0.0595,3.06,2.593,0.979,7283,10.76842198,10.72706784,17.39845,801.4443,1793,11.18955,2911,135,101.537092,25.049012,0.661925262
7.83,0.0092,1.87,1.449,0.412,1252,10.76842308,10.72706866,17.34011,799.7397,1796,11.18955,2969,124,101.53223,25.051343,0.233924653
5.33,0.00034,0.48,0.578,0.272,1252,10.76842084,10.72706924,17.34011,799.7397,1796,11.18955,2969,79,101.531494,25.050685,0.233714368
7.46,0.0225,2.85,2.076,0.889,1252,10.76842184,10.72705765,17.33186,797.1719,1796,3.813422,2760,129,101.527191,25.056324,0.073840953
6.62,0.036,3.05,2.382,0.878,1252,10.76843522,10.72707001,17.33186,797.1719,1798,3.813422,2760,162,101.526634,25.057175,0
7.73,0.00445,1.7,1.468,0.366,1252,10.76842093,10.7270684,17.34011,799.7397,1826,5.429314,2760,119,101.531902,25.056511,0.148656501
7.62,0.0585,5.12,4.19,0.858,885,10.76842221,10.72706685,17.33186,797.1719,1790,9.175042,2969,91,101.52331,25.052154,0
7.4,0.0749,3.02,3.03,0.97,1252,10.76842109,10.72706656,17.34011,799.7397,1796,11.18955,2969,116,101.532005,25.05326,0.475645615
8.28,0.00665,0.46,0.541,0.316,1252,10.76842117,10.72706584,17.34011,799.7397,1796,11.18955,2969,109,101.530536,25.052557,0.134895492
7.84,0.00985,3.89,2.63,0.481,564,10.76841769,10.72707248,17.34011,799.7397,1826,5.429314,2637,88,101.532496,25.058397,0.143961417
7.67,0.00305,1.06,0.839,0.213,789,10.7684204,10.72707114,17.29717,793.1582,1783,8.743761,1832,141,101.515274,25.064427,0.147212817
8.3,0.00375,1.37,0.895,0.311,628,10.76842317,10.72707501,17.22038,790.2643,1798,6.89468,1832,140,101.520829,25.070051,0
8.06,0.0145,1.32,1.299,0.533,789,10.76842185,10.72706868,17.13869,797.3577,1796,8.743761,1415,107,101.510707,25.066502,0.466463472
7.52,0.0138,0.92,1.07,0.527,1223,10.76842185,10.72706868,17.13869,797.3577,1796,8.743761,1415,97,101.51078,25.066889,0
7.7,0.0296,2.24,2.076,0.679,1223,10.768424,10.72706413,17.1075,795.3839,1796,5.073597,1423,95,101.509593,25.0718,0.385755967
8.01,0.0078,1.08,1.094,0.395,1223,10.76842427,10.7270721,17.1075,795.3839,1796,3.747947,1423,93,101.509965,25.072665,0.170803335
7.95,0.0357,1.78,1.568,0.988,8237,13.08457074,9.074031091,18.67043,1066.245,1307,12.89922,5360,146,103.400916,23.370398,8.61729689
7.95,0.0264,1.76,1.387,0.646,8237,13.08457401,9.07402885,18.46637,1061.542,1307,9.473333,5360,127,103.405291,23.369348,0.822774929
7.46,0.0734,1.4,1.567,1.171,8237,13.08457126,9.074030618,18.46637,1061.542,1307,9.473333,5360,136,103.405948,23.369744,6.576527292
7.45,0.0117,1.02,1.007,0.729,8237,13.08457227,9.074025488,18.46637,1061.542,1307,9.473333,2595,104,103.406226,23.373013,0.549942792
7.93,0.0203,0.79,0.852,0.637,8237,13.08457098,9.074030729,18.46637,1061.542,1307,9.473333,2595,136,103.406064,23.372559,0.37541128
6.91,0.0454,3.22,3.351,1.299,10741,13.08457209,9.074028868,18.67043,1066.245,1307,12.89922,5360,121,103.399044,23.372147,0.813099869
8.23,0.0102,1.86,1.977,0.6,8237,13.0845713,9.074032685,18.67043,1066.245,1301,4.899508,5664,94,103.400568,23.367877,0.573780853
7.66,0.0989,6.54,5.612,1.572,8237,13.08457342,9.074029893,18.67043,1066.245,1307,4.899508,5664,176,103.403708,23.368096,0
7.79,0.0369,3.52,2.986,1.151,8237,13.08457161,9.074028613,18.46637,1061.542,1307,9.473333,5360,169,103.406043,23.368259,0.243592227
8.04,0.0651,4,3.233,1.299,7710,13.08457182,9.074029668,18.64563,1069.089,1301,4.899508,5664,155,103.402256,23.36428,0.471395918
7.8,0.101,8.78,5.914,1.861,7710,13.08457043,9.074033984,18.64563,1069.089,1301,4.899508,5664,158,103.402237,23.36347,5.473920315
7.26,0.0094,0.65,0.895,0.512,9349,13.08457602,9.074025199,18.64563,1069.089,1301,4.899508,5664,108,103.399754,23.359226,0.391245311
7.99,0.0279,2.44,1.996,0.877,9349,13.08457178,9.074032587,18.64563,1069.089,1301,4.899508,5664,177,103.399346,23.362719,0.069051843
7.86,0.0104,0.74,0.846,0.529,7710,13.08457241,9.074031291,18.64563,1069.089,1301,4.899508,5664,110,103.400494,23.363993,0.175519531
7.34,0.273,3.33,3.632,2.139,7710,13.08457174,9.074027812,18.62673,1068.504,1303,6.088622,5314,147,103.400353,23.358458,0
7.69,0.16,1.5,1.74,1.891,10592,13.0845632,9.074029589,18.28745,1064.535,1305,1.762083,1838,128,103.413743,23.354773,0.490884327
8.14,0.0398,1.17,1.375,0.737,759,13.08458712,9.074021308,18.16292,1065.048,1309,2.752035,4669,135,103.423443,23.355837,1.623221579
8.08,0.0151,0.58,0.728,0.392,759,13.08457255,9.074031621,18.16292,1065.048,1309,4.959511,4669,137,103.423917,23.354785,0.168730632
7.85,0.155,1.86,2.027,2.139,759,13.08457192,9.07402851,18.16292,1065.048,1309,2.752035,4669,120,103.423505,23.353245,0.217865329
6.99,0.0116,2.73,2.381,0.741,136,13.08455272,9.074050135,18.266,1070.079,1319,6.084193,2326,135,103.420845,23.345052,0.061601857
7.76,0.018,4.19,3.172,0.738,136,13.08458421,9.074017028,18.13991,1071.668,1319,6.084193,2326,178,103.421778,23.344693,0
8.11,0.00545,1.97,1.586,0.616,136,13.08455229,9.074034987,18.13991,1071.668,1319,6.084193,2326,126,103.421538,23.343772,0.167579207
6.06,0.592,2.53,2.58,4.487,2285,13.0845708,9.074040889,18.08803,1079.429,1330,5.415433,2626,137,103.425577,23.338866,0
7.81,0.172,1.76,1.848,2.749,226,13.0845694,9.074033196,17.93566,1090.895,1330,5.415433,2740,150,103.428966,23.332559,0.416514829
